attempt_answer_id,user_id,quiz_id,question_id,quiz_attempt_id,given_answer,question_mark,achieved_mark,minus_mark,is_correct
174,485,9561,298,31,1126,1.00,0.00,0.00,0
175,485,9561,307,31,1154,1.00,0.00,0.00,0
176,485,9561,292,31,1102,1.00,0.00,0.00,0
177,485,9561,303,31,1140,1.00,0.00,0.00,0
178,485,9561,289,31,1089,1.00,1.00,0.00,1
179,485,9561,296,31,1118,1.00,0.00,0.00,0
180,485,9561,297,31,1121,1.00,0.00,0.00,0
181,485,9561,304,31,1144,1.00,1.00,0.00,1
182,485,9561,301,31,1135,1.00,0.00,0.00,0
183,485,9561,290,31,1095,1.00,0.00,0.00,0
184,485,9561,298,31,1126,1.00,0.00,0.00,0
185,485,9561,307,31,1154,1.00,0.00,0.00,0
186,485,9561,292,31,1102,1.00,0.00,0.00,0
187,485,9561,303,31,1140,1.00,0.00,0.00,0
188,485,9561,289,31,1089,1.00,1.00,0.00,1
189,485,9561,296,31,1118,1.00,0.00,0.00,0
190,485,9561,288,32,1084,1.00,1.00,0.00,1
191,485,9561,289,32,1090,1.00,0.00,0.00,0
192,485,9561,290,32,1092,1.00,0.00,0.00,0
193,485,9561,291,32,1099,1.00,1.00,0.00,1
194,485,9561,292,32,1102,1.00,0.00,0.00,0
195,485,9561,296,32,1116,1.00,0.00,0.00,0
196,485,9561,297,32,1123,1.00,1.00,0.00,1
197,485,9561,298,32,1126,1.00,0.00,0.00,0
198,485,9561,299,32,1129,1.00,0.00,0.00,0
199,485,9561,300,32,1130,1.00,0.00,0.00,0
200,485,9561,301,32,1136,1.00,1.00,0.00,1
201,485,9561,303,32,1141,1.00,0.00,0.00,0
202,485,9561,304,32,1144,1.00,1.00,0.00,1
203,485,9561,305,32,1147,1.00,1.00,0.00,1
204,485,9561,307,32,1154,1.00,0.00,0.00,0
205,485,9561,309,32,1162,1.00,0.00,0.00,0
206,485,9561,310,32,1165,1.00,0.00,0.00,0
207,485,9561,311,32,1170,1.00,0.00,0.00,0
208,485,9561,288,34,1087,1.00,0.00,0.00,0
209,485,9561,288,35,1084,1.00,1.00,0.00,1
210,485,9561,289,35,1090,1.00,0.00,0.00,0
211,529,9487,275,36,1051,1.00,0.00,0.00,0
212,485,9487,275,30,1053,1.00,0.00,0.00,0
213,485,9774,330,61,"a:1:{i:0;s:4:"1239";}",1.00,0.00,0.00,0
214,485,9774,329,61,"a:1:{i:0;s:4:"1236";}",1.00,0.00,0.00,0
